"","Images","Masks"
"182","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/261.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/261.png"
"183","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/262.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/262.png"
"184","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/263.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/263.png"
"185","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/264.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/264.png"
"186","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/265.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/265.png"
"187","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/266.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/266.png"
"188","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/267.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/267.png"
"189","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/268.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/268.png"
"190","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/269.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/269.png"
"191","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/27.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/27.png"
"192","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/270.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/270.png"
"193","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/271.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/271.png"
"194","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/272.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/272.png"
"195","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/273.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/273.png"
"196","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/274.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/274.png"
"197","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/275.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/275.png"
"198","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/276.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/276.png"
"199","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/277.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/277.png"
"200","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/278.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/278.png"
"201","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/279.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/279.png"
"202","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/28.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/28.png"
"203","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/280.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/280.png"
"204","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/281.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/281.png"
"205","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/282.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/282.png"
"206","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/283.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/283.png"
"207","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/284.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/284.png"
"208","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/285.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/285.png"
"209","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/286.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/286.png"
"210","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/287.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/287.png"
"211","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/288.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/288.png"
"212","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/289.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/289.png"
"213","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/29.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/29.png"
"214","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/290.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/290.png"
"215","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/291.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/291.png"
"216","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/292.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/292.png"
"217","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/293.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/293.png"
"218","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/294.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/294.png"
"219","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/295.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/295.png"
"220","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/296.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/296.png"
"221","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/297.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/297.png"
"222","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/298.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/298.png"
"223","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/299.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/299.png"
"224","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/3.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/3.png"
"225","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/30.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/30.png"
"226","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/300.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/300.png"
"227","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/301.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/301.png"
"228","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/302.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/302.png"
"229","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/303.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/303.png"
"230","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/304.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/304.png"
"231","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/305.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/305.png"
"232","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/306.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/306.png"
"233","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/307.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/307.png"
"234","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/308.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/308.png"
"235","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/309.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/309.png"
"236","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/31.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/31.png"
"237","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/310.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/310.png"
"238","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/311.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/311.png"
"239","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/312.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/312.png"
"240","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/313.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/313.png"
"241","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/314.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/314.png"
"242","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/315.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/315.png"
"243","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/316.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/316.png"
"244","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/317.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/317.png"
"245","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/318.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/318.png"
"246","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/319.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/319.png"
"247","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/32.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/32.png"
"248","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/320.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/320.png"
"249","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/321.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/321.png"
"250","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/322.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/322.png"
"251","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/323.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/323.png"
"252","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/324.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/324.png"
"253","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/325.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/325.png"
"254","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/326.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/326.png"
"255","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/327.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/327.png"
"256","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/328.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/328.png"
"257","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/329.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/329.png"
"258","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/33.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/33.png"
"259","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/330.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/330.png"
"260","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/331.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/331.png"
"261","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/332.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/332.png"
"262","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/333.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/333.png"
"263","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/334.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/334.png"
"264","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/335.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/335.png"
"265","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/336.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/336.png"
"266","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/337.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/337.png"
"267","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/338.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/338.png"
"268","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/339.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/339.png"
"269","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/34.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/34.png"
"270","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/340.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/340.png"
"271","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/341.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/341.png"
"272","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/342.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/342.png"
"273","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/343.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/343.png"
"274","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/344.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/344.png"
"275","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/345.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/345.png"
"276","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/346.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/346.png"
"277","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/347.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/347.png"
"278","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/348.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/348.png"
"279","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/349.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/349.png"
"280","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/35.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/35.png"
"281","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/350.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/350.png"
"282","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/351.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/351.png"
"283","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/352.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/352.png"
"284","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/353.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/353.png"
"285","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/354.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/354.png"
"286","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/355.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/355.png"
"287","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/356.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/356.png"
"288","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/357.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/357.png"
"289","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/358.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/358.png"
"290","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/359.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/359.png"
"291","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/36.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/36.png"
"292","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/360.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/360.png"
"293","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/361.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/361.png"
"294","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/362.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/362.png"
"295","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/363.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/363.png"
"296","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/364.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/364.png"
"297","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/365.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/365.png"
"298","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/366.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/366.png"
"299","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/367.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/367.png"
"300","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/368.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/368.png"
"301","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/369.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/369.png"
"302","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/37.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/37.png"
"303","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/370.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/370.png"
"304","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/371.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/371.png"
"305","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/372.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/372.png"
"306","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/373.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/373.png"
"307","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/374.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/374.png"
"308","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/375.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/375.png"
"309","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/376.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/376.png"
"310","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/377.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/377.png"
"311","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/378.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/378.png"
"312","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/379.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/379.png"
"313","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/38.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/38.png"
"314","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/380.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/380.png"
"315","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/381.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/381.png"
"316","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/382.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/382.png"
"317","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/383.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/383.png"
"318","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/384.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/384.png"
"319","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/385.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/385.png"
"320","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/386.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/386.png"
"321","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/387.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/387.png"
"322","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/388.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/388.png"
"323","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/389.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/389.png"
"324","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/39.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/39.png"
"325","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/390.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/390.png"
"326","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/391.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/391.png"
"327","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/392.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/392.png"
"328","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/393.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/393.png"
"329","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/394.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/394.png"
"330","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/395.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/395.png"
"331","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/396.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/396.png"
"332","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/397.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/397.png"
"333","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/398.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/398.png"
"334","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/399.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/399.png"
"335","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/4.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/4.png"
"336","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/40.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/40.png"
"337","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/400.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/400.png"
"338","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/401.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/401.png"
"339","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/402.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/402.png"
"340","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/403.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/403.png"
"341","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/404.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/404.png"
"342","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/405.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/405.png"
"343","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/406.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/406.png"
"344","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/407.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/407.png"
"345","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/408.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/408.png"
"346","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/409.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/409.png"
"347","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/41.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/41.png"
"348","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/410.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/410.png"
"349","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/411.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/411.png"
"350","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/412.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/412.png"
"351","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/413.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/413.png"
"352","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/414.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/414.png"
"353","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/415.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/415.png"
"354","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/416.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/416.png"
"355","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/417.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/417.png"
"356","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/418.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/418.png"
"357","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/419.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/419.png"
"358","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/42.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/42.png"
"359","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/420.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/420.png"
"360","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/421.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/421.png"
"361","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/422.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/422.png"
"362","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/423.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/423.png"
